"","c281b48a9ac15ab8db31d16fd7f6061a","ac497e41b16230691a63a326f1520573","X67b1a0b8a0351166d4e8978b1640913a","X861046dc390acf5d219614c8471a9a35","fc09aae0332019d4c733aeeaffb3ab07","X54a82865c7fb0a242e0e52c1629dcfa1","X6621ec621365d2e452925f53b69d7fa8","X0ab462899af75a39915e9dc4a0b872c2","fa479e1e8d76ccfafce1e9c8b17399a1","eaf307555b1ef040e7155ad169ba3637","b726c83a8023ca819ac68b75921d588e","ba63b0f31c182217ace0bd6fc39b027b","X931bb825089e4e983501f63d6b0ab6e2","X663353c380a5a14d9f0b5afdb3afbe08","e7d24fb78850aa4194897270760d7f9f","X020dfe956e6e2e235703c7a5d833ec20","X20ff23552df9cf3f03ec93dfd095b42c","X10819d4184b7fe808f57b65a0e9174d1","e6bb66b5a45fe0fda71582bc237bd3df","X99a30d2e520c0bb462c9d36594b679ef"
"S.2017.NAM-17.09.R",0,0,0,0,0,589.362929692104,0,0,0,155.095507813712,0,0,0,0,0,0,0,9893.85296082879,0,2842.62782777577
"S.2017.NAM-23.09.R",71.8152839082596,0,0,36.3212148356726,0,54.4818222535089,0,254.248503849708,90.8030370891815,1979.50620854416,58.3029186441073,0,0,71.8152839082596,0,0,0,8507.21851503083,143.630567816519,1293.22422305698
"S.2017.NAM-30.09.R",0,41.5517069441213,0,0,0,4611.55508974191,0,0,38.1120255350571,208.940157580055,0,0,0,0,0,0,0,8642.3799215775,177.216748932158,655.601131549848
"S.2017.NAM-32.09.R",0,36.9770093133531,0,0,0,221.862055880119,0,0,0,245.200297593637,25.6845494271864,0,0,0,0,0,1714.15068119124,21504.7709631443,293.854402489926,5590.30367838963
"S.2017.NAM-37.09.R",0,0,0,0,44.6550675128802,44.6550675128802,0,0,0,0,0,0,0,0,0,0,0,3955.20565812649,0,116.099191303429
"S.2017.NAM-43.09.R",0,0,0,0,0,166.184681630212,0,0,0,35.3238936114972,0,0,0,0,0,0,0,1781.70864059486,0,319.220833344435
"S.2017.NAM-46.09.R",0,0,0,0,0,0,0,0,0,245.644450057257,0,0,0,0,0,0,144.192381475364,1488.3751175336,141.20129235799,120.160317896137
"S.2017.NAM-48.09.R",0,186.804067284957,0,0,0,597.773015311862,0,0,0,824.371276684806,0,0,0,0,0,8025.84321515279,0,182589.772255975,43.573910339054,25309.7222056468
"S.2017.NAM-5.09.R",0,145.058500753795,0,0,0,247.412591193303,0,0,0,581.790371116677,201.595444676025,0,0,0,0,0,0,11677.7173824988,133.963230800055,265.739449800214
"S.2017.NAM-72.09.R",0,130.327306849331,0,0,0,561.316642041361,0,0,0,0,0,0,0,0,0,48.8727400684992,0,3687.13800580233,48.8727400684992,254.57692259414
"S.2017.NAM-76.09.R",811.725373013175,0,0,811.725373013175,0,91.8894891059268,0,85.9911773052085,0,332.661910710217,0,0,0,0,0,0,0,6556.57114774023,209.851010984057,465.726674994303
"S.2017.NAM-79.09.R",0,765.7896248269,0,0,0,3825.82096759586,0,0,0,510.526416551266,896.505385979872,0,0,0,0,6636.84341516646,0,262847.569260019,0,15166.7072193715
"S.2017.YN04-C1213.09.R",0,228.779814299425,0,0,0,207.523466827744,0,59.2924190936413,0,246.511201570751,0,0,0,0,0,0,114.389907149712,4970.44512156291,0,228.779814299425
