"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21"
"S.2017.NAM-37.06.R",0,130.817708793239,346.416823155655,0,109.0414439268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.124331780401,296.353403167056
"S.2017.NAM-37.09.R",0,29.7700450085868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3101350257604
"S.2017.NAM-43.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,85.4755190100225,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-43.06.R",0,0,0,382.019123877341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1009561938671,0,0,0,0,0,0
"S.2017.NAM-43.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6619468057486,0,0,0,0
"S.2017.NAM-46.03.R",0,0,0,14951.6407868301,2491.94013113835,0,0,0,0,0,0,0,0,9967.7605245534,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-46.06.R",0,0,0,1121.94990943783,0,0,0,0,0,0,0,0,0,331.206941104134,0,0,0,0,0,0,545.290648435783,0,0,0,0,441.996759962279,0
"S.2017.NAM-46.09.R",0,0,24.0320635792274,174.672241460366,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4125368797491,0,0,0,0,0,0,0,0,0
"S.2017.NAM-48.03.R",0,0,0,0,306.140411299643,0,0,0,0,0,0,0,0,0,0,0,0,0,765.351028249107,0,0,0,0,0,0,0,0
"S.2017.NAM-48.06.R",0,0,0,0,532.391591762127,5616.7791858958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.927727841418,510.770337438295
"S.2017.NAM-48.09.R",74.7216269139828,0,0,133.869395540501,0,0,0,0,0,0,0,0,0,74.7216269139828,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-5.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.369823003986,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-5.06.R",0,0,0,0,0,0,0,0,0,0,0,0,0,186.082213447929,0,1135.89802881124,973.626881838208,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-5.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-72.03.R",0,0,428.817615827658,3223.89118292627,0,0,0,0,0,0,214.408807913829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-72.06.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-72.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-76.03.R",4996.50698304842,0,0,1433.03259552058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18209.3672744732,0,0,0,0,0,0,0
"S.2017.NAM-76.06.R",0,0,7955.99990680529,0,408.031418419218,0,0,0,0,0,500.487975776382,680.052364032031,1864.76717642347,0,0,0,500.487975776382,0,0,0,0,0,0,0,0,272.020945612812,0
"S.2017.NAM-76.09.R",22.1774607140144,0,0,57.3274515368057,0,88.7098428560577,0,0,0,0,0,0,0,811.725373013175,0,66.5323821420433,22.1774607140144,0,0,0,0,0,88.7098428560577,0,0,0,0
"S.2017.NAM-79.03.R",0,0,0,0,0,0,0,0,0,0,910.598225092293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-79.06.R",0,0,0,135.408145691745,0,172.648952884101,0,0,0,0,86.3244764420504,0,258.973429326151,153.664268543676,0,690.595811536403,258.973429326151,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-79.09.R",0,0,0,2419.51024166246,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5862686506588,0,0,0,0,61.0706835908799,0,0,0,0
"S.2017.YN04-C1213.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,1450.92605355368,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.YN04-C1213.06.R",0,789.543808167173,0,0,0,0,0,0,0,0,0,0,0,263.181269389058,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.YN04-C1213.09.R",0,68.6339442898274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6339442898274,0
