"","X83b3780d81b53c75005807be459eb58c","X3a2c7d75cfe5ecf2bb7365399890fdb4","f7e4d6e9e0a0370a86c8c5fd06c3abbb","X3e5948251286e38076a2b64de3ce2c04","X0c897461dd87a51b819cb5cd2673b1cc","X53976109a60d93a15b345e47740ea7bd","e6463a720ccb096471a4b7b4ca2757b0","X66dab50962e1791cd3e6ab748e873c55","ed9923136d584bc3ff8524cd9eebdc93","c752f8a0b6dc047724cdb7f5f861aa35","ed33772a1caee90939081a3385e863b9","X74102cb314b4c3ba9f7dc88e4be09649","X2988a53743a50b6579198acf6a5cb70e","c3492868939e3115d88cd6bcd520726d","X264b149f3c269c37a1309792a8ca5ecc","X3c0f10bb5340d817636f203a0e132fdd","e9b701f61b7096cb0d7bb24cb2ba68e2","e7d24fb78850aa4194897270760d7f9f"
"M.2017.NAM-5.06.R",0,0,603.568128007442,0,0,0,287.376966736116,0,0,0,143.688483368058,0,158.095580635663,0,0,0,368.317766152748,0
"M.2017.NAM-72.06.R",0,0,545.986882665144,993.164545018907,0,727.982510220192,0,0,0,0,993.164545018907,0,0,0,0,0,0,0
"M.2017.NAM-76.06.R",108.775164454452,36.9004285754151,0,0,0,0,0,0,0,0,898.902984267955,0,0,0,0,0,0,0
"M.2017.NAM-79.06.R",0,0,974.958792757275,0,0,1020.07854604805,0,0,0,0,0,0,1218.69849094659,0,0,0,39.3449750196295,0
"M.2017.YN04-C1213.06.R",328.352059248921,0,0,0,0,0,0,0,648.425520493508,0,287.145397866869,0,0,0,0,0,454.061466300693,0
"S.2017.NAM-0.06.R",0,17817.3719376392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-13.06.R",329.341440621797,0,0,0,0,0,0,0,6916.17025305773,0,0,0,0,0,0,0,0,0
"S.2017.NAM-14.06.R",0,0,0,0,0,0,644.889366925928,0,0,0,184.254104835979,1432.13863927856,0,0,332590.942835932,0,0,0
"S.2017.NAM-17.06.R",2312.46883886415,223.13552833612,101.959209943572,0,0,0,0,0,0,0,0,0,0,0,751.008299693539,0,0,25841.5842353062
"S.2017.NAM-23.06.R",1291.11390852458,0,0,504825.538233111,0,451.644409065632,0,0,1506.29955994534,0,33298.5105229298,0,0,0,0,0,0,0
"S.2017.NAM-30.06.R",0,1425.38975501114,296.956198960653,0,0,0,2138.0846325167,0,0,0,8297.40645745727,0,0,0,0,0,0,0
"S.2017.NAM-32.06.R",0,0,0,0,0,0,0,132.029432661276,0,0,27411.3414425218,0,126777.454171664,0,0,0,0,0
"S.2017.NAM-37.06.R",0,0,0,0,0,0,1242.76823353577,0,0,0,196.226563189859,0,0,0,0,0,611.886770416337,0
"S.2017.NAM-43.06.R",0,0,0,0,0,0,0,0,0,0,611.230598203746,0,0,0,0,0,0,0
"S.2017.NAM-46.06.R",0,0,331.334856848091,0,0,0,441.4375657907,0,0,0,876.497589539916,91.5903905216843,0,0,286.280328381429,0,0,0
"S.2017.NAM-48.06.R",0,0,4171.29108907941,0,0,0,185.985093294772,0,0,0,3543.5010413803,0,3415.5615550414,0,0,0,170.256779146098,0
"S.2017.NAM-5.06.R",0,324.542293946069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S.2017.NAM-72.06.R",0,0,0,0,0,152.025357829686,608.101431318744,0,0,0,0,0,0,0,0,0,0,5776.96359752807
"S.2017.NAM-76.06.R",1272.99689716558,0,0,0,0,0,0,0,842.428933221712,0,408.031418419218,0,0,0,0,0,0,0
"S.2017.NAM-79.06.R",258.973429326151,172.648952884101,0,0,0,517.946858652302,581.264255568217,470.486755506444,0,0,86.0742605683053,0,0,0,0,0,0,0
"S.2017.YN04-C1213.06.R",0,0,0,0,0,0,526.362538778115,0,0,0,5318.61848884752,0,6579.53173472644,0,0,0,0,0
