"","global.balance.Taxa","global.balance.Group"
"1","df9f127f34e52758c22bb8768ea9dd1d","NUM"
"2","X726f137d48a9a16971165106f5accbc3","DEN"
"3","X192b9d0e30798cb5d4a686f2b25b046b","DEN"
"4","X8bb6ba264b60216d22b221d5c6c0992e","NUM"
"5","X4603641854a42087dd05682bc365b2b2","DEN"
"6","X31e4d9092a2fe5d08a565a11d5c0a510","NUM"
"7","X065259ec202538d9a00670abd44fc85d","NUM"
"8","d2db2c90c9f6401ed400e43cd16e7846","DEN"
"9","X71c8a0b854b50dd6b2845d87007e5ad4","NUM"
"10","X90c8784ec39588e5031c9e4950c88efa","DEN"
"11","X519335ba0a9cc277b802a53b482bce49","DEN"
"12","f3eefe548d5b25a70eff6ded2ac754cb","DEN"
"13","f99a6053aeb89ad886d5acae4e1e77b5","NUM"
"14","c50df3a28f2c5b2ed3fcec3c8c0dbce3","DEN"
"15","fbdfdbc22fcb0362b5fe57dcee55fed6","DEN"
"16","X23769d724c8f54a20fc5503775e0d215","NUM"
"17","X43c74972f95d6719e0a57265faf133ff","NUM"
"18","X27411089f2f049c2a454db6aac7c5d0b","NUM"
"19","a4d62e1254481f8aa0a1fd7b2f28dddf","DEN"
"20","fcca31a8dba0488eb8879120277f149b","NUM"
"21","X6621ec621365d2e452925f53b69d7fa8","DEN"
"22","ad568b74428dbece1b14338b18a261b9","NUM"
"23","X733666313c4bfa4aee6abca3478eed6e","NUM"
"24","X72c7f54f73e0c27bef2f8ea144f989eb","DEN"
"25","X0b85d04d31bae6800df285cbbea2976c","NUM"
"26","X98cedaeb6530038a7c03909a8fffac4d","DEN"
"27","X5dbb8b0090393f98803bec4188360a21","NUM"
